idTweeter,lastFollowing
295218901,1;2;3;4;5;6
111871923,1087757160;2220101462;3091349915;1;2;3
944686196331966464,100628367;49336227;1407359723121283073;1;2;3
2297269136,1348281023071735810;1595447869586083841;1237531306596143106;1;2;3
1073132650309726208,191302314;1600592269500768256;1407359723121283073;1;2;3
946230282671157249,392008011;1609461016022364160;106595422;1;2;3
1161802324395741184,1424994036293586947;493351331;1311492924773814272;1;2;3
1237531306596143106,53836928;906234475604037637;1472283782581530631;1;2;3
1456327895866314753,1442695460502790145;991401872173875201;1282727055604486148;1;2;3
16709601,1483102260787916802;4186478044;4204484716;2492917412;1;2
3012852462,1240821234843213827;346706911;1603365073044606983;1;2;3
